c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,
2553,196,17,374,95,283,232,252,198,1410,3
1884,344,17,468,29,404,183,236,164,300,3
2148,24,13,772,42,1264,164,212,134,2360,3
2038,50,35,408,-602,474,226,197,102,283,3
2018,341,27,351,34,390,152,174,88,190,3
2074,348,18,499,107,1648,183,208,161,1267,3
2089,150,22,424,81,510,142,194,39,350,3
2018,228,6,60,-334,120,145,220,184,228,3
2423,33,12,80,94,480,218,214,131,342,3
2025,288,26,67,-42,120,140,165,202,256,3
2161,23,18,381,89,515,209,204,124,342,3
2121,230,28,524,-798,671,150,143,161,365,3
2121,28,27,889,42,680,200,208,97,306,3
2193,74,18,301,59,430,239,202,88,1540,3
2044,276,42,292,49,153,144,221,227,277,3
2311,31,37,216,-74,272,214,190,203,277,3
2056,3,13,201,106,1981,201,203,54,309,3
2091,162,17,680,84,417,176,246,208,1737,3
2160,348,12,532,158,1203,167,219,160,361,3
2090,88,29,201,82,309,164,173,134,190,3
2092,352,35,228,84,335,164,183,150,1061,3
2167,231,25,487,-355,589,178,224,185,300,3
2199,64,31,729,-146,1994,233,128,55,432,3
2173,50,28,124,100,2202,176,224,64,552,3
2092,59,32,52,28,150,230,178,66,2897,3
1899,226,45,30,12,108,161,250,210,295,3
2119,26,44,437,250,474,181,120,76,309,3
2508,261,26,85,43,1710,253,202,67,658,3
2112,250,21,291,-452,247,106,241,235,127,3
1982,75,33,313,-420,351,193,156,65,301,3
1987,224,28,561,168,2117,153,195,159,162,3
2172,325,20,313,-1058,420,218,214,185,95,3
2027,346,37,60,26,150,100,249,246,180,3
2161,169,32,458,142,2198,254,188,34,390,3
2223,294,8,367,-198,108,182,230,212,511,3
2092,270,26,149,90,270,131,234,222,85,3
1878,54,25,64,150,1369,225,176,71,466,3
2646,51,33,210,144,359,229,155,131,361,3
1968,303,24,193,173,1272,124,208,206,108,3
2241,170,21,300,-909,3041,229,242,130,175,3
2132,119,34,138,172,408,237,156,140,488,3
2162,215,33,549,143,543,226,230,107,29,3
2143,209,25,347,124,2056,223,234,136,258,3
2332,287,6,411,26,30,202,221,177,361,3
1953,197,41,242,110,709,191,245,164,324,3
2598,177,31,86,134,481,211,245,108,430,3
2077,99,26,285,117,2636,202,194,120,518,3
2026,343,26,42,19,108,160,192,165,391,3
2026,271,34,60,23,1883,114,189,242,277,3
2294,322,20,30,22,248,127,190,194,1115,3
2296,264,33,60,43,108,221,181,148,474,3
2107,155,41,120,88,525,228,163,95,285,3
2070,245,28,134,51,1582,216,244,142,342,3
2051,107,24,89,91,228,252,155,64,2736,3
2009,348,16,30,7,1028,180,219,156,671,3
2016,116,28,120,30,162,132,200,76,1484,3
2028,136,30,10,76,212,250,212,67,999,3
2340,196,20,42,276,592,211,245,164,402,3
2085,259,16,95,35,497,166,247,155,469,3
2032,12,33,190,79,228,193,194,38,459,3
2035,323,13,95,45,296,154,209,191,3661,3
2093,247,23,127,64,477,164,250,242,1011,3
2177,263,23,124,40,170,137,216,117,732,3
2013,255,16,0,0,404,181,189,204,437,3
1973,125,22,201,21,687,249,219,128,390,3
2459,216,36,67,-544,408,129,212,212,768,3
2040,200,19,242,-752,2296,165,178,208,638,3
2162,302,11,30,17,85,129,195,218,3174,3
1969,267,22,60,-30,518,130,207,193,2311,3
2533,291,18,268,119,323,155,209,206,1968,3
2471,349,32,0,0,454,213,246,158,592,3
2028,258,25,525,0,2865,181,227,135,607,3
1989,258,38,60,41,365,105,230,245,642,3
2059,308,18,212,-540,150,214,210,170,731,3
2081,39,30,513,53,270,254,202,67,553,3
2072,195,19,539,67,2609,181,158,163,664,3
2208,135,13,120,12,1101,175,236,130,1455,3
2199,200,3,322,-1124,277,206,253,234,426,3
2061,84,19,322,-176,254,243,205,85,1198,3
2078,311,29,209,-141,150,145,196,213,644,3
2109,326,41,228,104,268,58,223,189,1248,3
2356,271,18,382,133,433,145,214,206,571,3
2076,350,32,90,39,391,114,210,212,566,3
1999,99,18,67,51,695,181,167,36,1538,3
2116,194,27,536,-918,212,142,166,98,577,3
1909,341,33,175,117,234,164,198,162,564,3
2176,306,29,325,165,807,101,215,246,1233,3
2088,96,37,42,-1220,108,201,130,32,324,3
2122,98,12,140,91,786,229,244,146,330,3
2105,260,33,138,66,371,215,225,236,2250,3
2029,71,40,150,115,2121,91,131,66,1315,3
2220,235,11,412,35,150,225,211,153,365,3
2342,111,6,359,81,192,230,234,137,950,3
2199,325,11,376,144,537,191,221,176,2919,3
1980,9,44,30,-738,2597,131,140,103,218,3
1903,67,16,108,36,120,193,207,100,2492,3
2115,184,28,43,102,258,151,244,226,499,3
2083,221,35,60,60,150,125,193,200,642,3
2176,148,28,90,27,313,226,225,176,497,3
2209,293,21,376,204,443,72,230,211,176,3
2218,305,13,614,159,467,187,229,175,365,3
2129,259,12,210,-465,342,140,247,195,379,3
2223,117,28,392,204,390,213,167,73,2223,3
2242,215,23,173,-455,457,245,175,122,1570,3
2112,15,44,161,-1492,242,157,133,77,511,3
1913,353,29,212,200,277,54,210,146,467,3
1918,322,42,112,-1576,339,149,229,244,1774,3
2270,221,14,361,165,638,116,224,179,1308,3
2354,87,23,5,0,30,245,159,0,127,3
1983,324,15,162,-29,694,180,223,182,2045,3
2336,203,22,127,61,1388,251,208,76,2920,3
2125,306,28,134,-1120,978,125,208,215,518,3
2319,63,8,212,91,1034,246,194,134,638,3
2029,107,29,330,162,959,181,181,78,519,3
2487,10,23,291,141,295,153,113,101,474,3
2152,21,40,210,126,1914,162,152,71,450,3
1997,245,28,42,-132,566,134,207,132,3025,3
2110,82,24,285,-762,599,164,213,89,301,3
2097,26,21,343,-193,300,177,165,113,1725,3
2176,352,25,416,-277,1020,102,198,213,484,3
2120,107,34,603,155,335,162,104,175,2777,3
2162,289,36,538,94,335,98,208,145,1524,3
2139,27,27,283,-687,1096,100,122,66,331,3
2202,58,28,72,-1104,127,175,188,85,67,3
1944,27,16,88,0,170,210,187,130,277,3
2025,265,29,175,3,170,153,179,154,2707,3
2152,268,19,303,114,594,121,232,240,1738,3
2208,335,28,42,174,1756,157,198,127,408,3
2137,27,19,64,168,516,215,208,87,379,3
2231,359,29,262,-137,212,141,199,53,258,3
2103,310,24,127,39,564,188,205,197,1867,3
2005,135,50,277,102,277,254,228,50,810,3
2242,296,19,127,-1312,700,142,235,222,618,3
2375,231,38,398,-204,658,123,235,199,560,3
2100,143,27,85,36,2405,246,199,86,916,3
1939,179,14,134,-472,1709,239,238,151,800,3
1944,163,23,123,37,3047,232,202,140,787,3
2170,218,25,426,0,787,185,254,195,1059,3
2177,183,16,441,30,108,224,246,230,1997,3
2059,78,39,150,-630,175,235,104,0,297,3
2049,211,22,170,59,175,202,193,140,722,3
2257,328,30,150,-1490,540,161,219,187,510,3
2096,318,31,67,40,942,123,170,142,270,3
2001,158,46,68,-350,120,198,138,18,3,3
1940,19,34,30,-126,814,252,182,0,408,3
2363,214,7,423,0,30,160,248,0,433,3
1946,318,40,60,32,108,155,198,177,499,3
1988,7,31,160,80,124,162,156,97,382,3
2047,318,41,228,-419,218,89,171,205,42,3
2108,240,28,120,44,218,186,178,102,752,3
2070,189,31,274,-568,979,251,179,32,2956,3
2322,351,26,179,98,150,155,194,150,1038,3
2065,15,42,85,72,108,148,139,78,366,3
2113,310,46,619,-1169,268,64,162,249,90,3
2099,68,40,143,46,1026,232,153,85,45,3
2200,300,39,376,58,715,88,175,173,566,3
2076,56,8,252,18,711,227,243,150,870,3
2262,322,22,127,20,379,159,212,201,1972,3
2166,150,26,60,-1534,3022,113,215,244,633,3
2476,176,13,150,15,30,241,222,129,1251,3
2049,175,30,322,0,2686,247,189,94,787,3
2122,288,38,120,45,192,14,211,200,1444,3
2185,284,39,17,-101,258,149,250,240,528,3
1919,304,15,30,8,1569,89,205,123,331,3
2286,335,5,150,-337,660,193,233,163,582,3
2163,110,30,342,-827,2233,190,190,59,2201,3
1987,182,39,418,254,124,142,184,224,850,3
1976,245,51,153,136,1969,76,165,148,175,3
1949,82,31,294,-836,108,243,200,77,573,3
2111,317,32,579,-869,192,113,242,245,752,3
2278,283,20,127,-281,485,161,237,178,1627,3
2321,293,11,134,-442,690,222,225,160,618,3
2283,316,23,59,45,1007,177,198,149,492,3
2077,83,35,242,-172,124,245,172,124,418,3
2004,245,38,108,77,638,117,104,139,708,3
2215,87,19,124,50,124,245,244,120,1581,3
2233,350,23,216,-846,391,135,229,205,573,3
2299,310,27,127,-287,524,136,210,209,2949,3
2290,28,10,201,34,720,219,170,113,1275,3
2293,12,14,268,-19,702,209,210,130,484,3
2137,97,27,335,-952,351,251,190,1,424,3
2013,84,21,560,25,256,160,239,183,692,3
2248,259,30,228,-274,411,123,214,225,1376,3
2320,237,25,134,7,564,146,210,200,484,3
2720,49,24,0,0,779,221,181,6,516,3
2190,298,35,497,16,809,103,231,228,2160,3
2296,304,37,85,25,785,95,175,236,2267,3
2437,131,31,350,193,915,252,246,100,1149,3
1928,48,31,60,55,134,213,157,56,2359,3
1918,235,16,173,17,1859,240,188,241,402,3
2225,312,26,247,165,457,143,211,204,234,3
2334,225,35,263,-1538,212,118,193,182,83,3
2304,75,12,245,33,636,240,215,122,618,3
2186,330,27,243,0,246,142,193,166,722,3
2124,176,27,391,189,224,104,207,64,2808,3
2171,67,37,153,-1156,190,228,141,37,524,3
2477,330,35,70,-471,2211,143,224,201,631,3
2030,77,31,67,9,474,240,195,113,2488,3
2193,340,29,509,168,39,151,188,165,768,3
2362,179,40,162,32,239,144,195,191,513,3
2330,114,25,374,24,812,202,176,10,658,3
2159,253,27,153,-823,1331,228,245,228,426,3
2137,100,32,25,86,1256,128,172,0,497,3
2074,75,20,277,155,309,197,217,145,591,3
1887,130,31,63,58,566,161,182,45,560,3
1961,320,37,60,-1266,150,152,185,200,408,3
2250,332,23,242,159,2504,138,225,192,446,3
2090,304,18,150,41,279,163,248,219,2225,3
2413,49,9,124,3,902,224,193,202,518,3
2091,51,30,306,-182,350,233,188,82,952,3
2022,66,25,15,38,192,229,138,25,1648,3
2368,314,48,30,25,1939,129,202,206,474,3
2292,191,26,319,266,439,159,219,232,277,3
2260,227,14,228,74,687,182,223,234,342,3
2075,282,10,95,71,247,133,234,230,46,3
2052,55,27,441,-1334,484,224,187,120,389,3
2207,190,24,421,163,1871,146,222,214,850,3
2532,307,18,341,-287,531,141,215,210,997,3
2313,299,29,171,223,452,125,214,222,674,3
2030,347,13,422,-1106,180,194,218,105,1937,3
2032,312,39,162,129,2569,153,181,213,2645,3
2430,324,13,234,-1184,631,171,181,184,2854,3
2376,198,31,30,8,210,127,213,220,1956,3
2417,68,22,150,-206,947,236,254,47,19,3
2397,124,30,535,16,1087,245,227,107,642,3
2239,323,17,295,104,1176,183,213,114,666,3
2171,27,48,333,120,1217,195,133,66,351,3
2096,198,17,512,-239,313,173,220,122,2712,3
2451,35,33,85,-870,242,198,151,67,663,3
