c1,c2,c3,c4,c5,
235,17,188,253,199,3
344,17,183,211,164,3
24,13,212,212,134,3
50,17,226,200,102,3
341,27,152,188,168,3
348,18,183,208,161,3
41,19,219,194,103,3
303,24,145,220,211,3
33,12,218,214,131,3
288,26,140,227,223,3
23,16,209,204,128,3
345,29,150,181,161,3
28,26,200,173,97,3
74,18,239,202,88,3
276,25,144,236,227,3
31,21,210,190,109,3
3,13,201,214,149,3
262,17,176,246,208,3
349,12,197,219,160,3
0,29,165,173,134,3
352,27,164,183,150,3
320,16,178,224,185,3
64,27,233,173,55,3
50,28,219,167,64,3
59,25,230,178,66,3
226,32,161,250,210,3
26,35,181,143,76,3
122,26,253,210,67,3
251,33,131,241,235,3
66,33,231,156,31,3
334,26,153,196,177,3
325,20,167,214,185,3
272,37,100,222,246,3
113,32,254,188,34,3
294,21,156,230,212,3
270,29,131,234,235,3
54,25,225,177,71,3
65,33,229,155,31,3
303,31,120,208,220,3
170,24,229,242,130,3
73,27,239,179,53,3
166,33,226,230,107,3
170,32,223,234,116,3
287,6,202,240,177,3
197,33,191,245,164,3
177,23,224,245,140,3
99,26,252,194,54,3
343,25,160,192,165,3
271,34,114,228,242,3
323,31,127,190,194,3
327,33,122,182,189,3
155,41,229,205,63,3
181,28,216,244,142,3
107,24,252,203,64,3
348,13,196,219,161,3
116,28,254,200,53,3
136,30,250,212,67,3
196,20,211,252,167,3
259,21,166,247,216,3
120,33,254,193,38,3
323,23,154,209,191,3
247,23,164,250,218,3
313,23,152,216,201,3
256,16,181,248,204,3
125,22,250,219,86,3
242,36,129,241,232,3
279,19,165,239,212,3
302,29,129,213,218,3
309,29,130,207,211,3
291,18,167,234,206,3
349,4,213,233,158,3
258,16,181,248,204,3
258,38,105,230,245,3
340,18,178,210,169,3
117,31,254,194,42,3
346,19,181,207,163,3
135,10,236,236,130,3
200,22,206,253,171,3
84,19,243,205,85,3
311,33,115,197,213,3
326,27,143,198,189,3
310,25,145,214,206,3
297,32,114,210,227,3
46,37,204,135,36,3
320,27,142,203,196,3
341,23,165,198,168,3
307,26,141,215,210,3
46,38,201,130,32,3
170,12,229,245,146,3
263,26,147,242,228,3
27,38,176,133,66,3
178,11,225,246,153,3
111,6,230,234,137,3
325,11,191,227,176,3
9,37,154,141,103,3
67,16,234,207,100,3
260,25,151,244,226,3
310,35,107,193,215,3
148,28,243,225,90,3
293,21,157,230,211,3
329,13,187,223,175,3
259,12,190,247,195,3
43,28,213,167,73,3
141,20,245,231,106,3
15,39,157,133,87,3
353,30,155,174,146,3
291,23,149,229,217,3
326,14,184,224,179,3
87,20,245,203,0,3
324,15,180,223,182,3
106,22,251,208,73,3
306,30,126,208,215,3
85,23,246,194,66,3
107,34,254,178,23,3
10,37,154,141,102,3
21,40,162,126,71,3
312,28,134,207,207,3
41,24,215,181,89,3
26,21,204,188,113,3
310,33,115,198,213,3
9,34,162,154,112,3
289,36,99,209,237,3
27,27,198,172,97,3
33,28,203,167,85,3
33,22,210,187,104,3
349,29,154,179,154,3
268,32,121,232,240,3
335,25,157,198,176,3
27,30,191,159,87,3
359,29,163,173,136,3
225,20,188,254,197,3
122,30,254,200,50,3
274,26,142,236,228,3
267,30,130,235,236,3
143,27,246,223,86,3
153,18,239,238,122,3
163,13,232,243,140,3
218,25,185,254,195,3
172,16,229,246,143,3
78,39,237,140,0,3
78,22,242,193,70,3
328,30,133,189,187,3
275,31,123,229,237,3
103,46,244,138,0,3
106,34,253,178,0,3
214,7,213,247,0,3
334,25,155,198,178,3
7,33,162,156,116,3
318,40,89,171,205,3
240,17,186,252,201,3
97,31,251,179,32,3
351,29,155,177,150,3
15,42,148,120,78,3
310,46,59,162,218,3
68,34,232,153,25,3
300,39,88,194,230,3
168,8,227,243,150,3
322,22,159,212,191,3
280,37,96,215,244,3
98,13,241,222,109,3
127,20,248,223,94,3
288,35,102,211,237,3
285,39,88,208,243,3
304,15,176,231,195,3
335,5,209,233,163,3
110,31,254,190,39,3
305,40,83,184,224,3
303,44,65,175,228,3
82,20,243,200,77,3
317,31,124,196,204,3
283,20,161,237,214,3
349,9,204,225,160,3
338,24,161,198,172,3
83,30,245,172,34,3
340,38,117,158,163,3
87,20,245,203,79,3
230,23,177,253,206,3
310,27,136,210,209,3
35,10,219,219,135,3
27,14,213,210,130,3
97,27,251,190,49,3
163,23,234,239,122,3
297,30,123,215,225,3
316,25,146,210,200,3
49,24,222,181,81,3
298,35,103,203,229,3
292,37,95,205,236,3
